OrderID,CustomerID,OrderDate,ShipDate,PromisedDeliveryDate,ActualDeliveryDate,OrderStatus,OrderValue,QuantityOrdered,QuantityShipped,QuantityReturned,IsAccurate,Region
O00001,C004,2024-08-14,2024-08-15,2024-08-20,2024-08-17,Delivered,47.06,2,2,0,1,South
O00002,C032,2024-02-29,2024-03-02,2024-03-04,2024-03-03,Delivered,1636.09,19,11,9,1,Northeast
O00003,C012,2024-06-18,,2024-06-24,,Placed,1322.0,10,0,0,1,Northeast
O00004,C022,2024-06-14,2024-06-17,2024-06-21,2024-06-25,Delivered,730.44,6,3,0,1,South
O00005,C006,2024-04-20,2024-04-21,2024-04-23,2024-04-22,Delivered,450.54,3,3,0,1,Northeast
O00006,C037,2024-03-23,2024-03-25,2024-03-26,2024-03-31,Delivered,2036.21,11,11,0,1,Midwest
O00007,C012,2024-11-12,,2024-11-16,,Placed,96.84,4,0,0,1,Northeast
O00008,C007,2024-04-14,,2024-04-19,,Cancelled,673.84,4,0,0,1,Midwest
O00009,C036,2024-10-22,,2024-10-29,,Placed,239.31,3,0,0,1,West
O00010,C021,2024-01-08,2024-01-10,2024-01-14,2024-01-21,Delivered,309.33,9,9,0,1,South
O00011,C010,2024-01-24,2024-01-25,2024-01-31,2024-01-31,Delivered,2068.05,15,15,0,1,South
O00012,C032,2024-06-23,2024-06-24,2024-06-28,2024-06-25,Delivered,1179.52,19,19,0,1,Northeast
O00013,C021,2024-09-24,2024-09-27,2024-09-29,2024-09-28,Delivered,2909.88,18,18,0,1,South
O00014,C038,2024-12-05,2024-12-07,2024-12-09,2024-12-08,Delivered,2319.9,11,11,0,1,South
O00015,C023,2024-10-20,2024-10-22,2024-10-23,2024-10-22,Delivered,3196.2,15,15,0,1,West
O00016,C019,2024-10-22,2024-10-25,2024-10-25,2024-10-25,Delivered,1070.1,6,6,0,1,Midwest
O00017,C031,2024-07-29,2024-07-30,2024-08-02,2024-08-01,Delivered,920.79,9,9,0,1,Midwest
O00018,C040,2024-09-17,2024-09-19,2024-09-24,2024-09-22,Delivered,486.88,17,17,0,1,Midwest
O00019,C037,2024-11-17,2024-11-19,2024-11-22,2024-11-22,Delivered,185.96,4,1,0,0,Midwest
O00020,C003,2024-06-29,2024-06-30,2024-07-05,2024-07-02,Delivered,2013.31,17,17,0,1,South
O00021,C008,2024-03-20,2024-03-22,2024-03-24,2024-03-22,Delivered,476.9,19,19,16,1,Northeast
O00022,C017,2024-11-18,2024-11-19,2024-11-24,,Shipped,400.08,2,2,0,1,South
O00023,C040,2024-08-07,2024-08-08,2024-08-13,2024-08-12,Delivered,1873.35,15,15,0,1,Midwest
O00024,C016,2024-03-28,2024-03-30,2024-04-01,2024-04-01,Delivered,904.14,9,9,0,1,West
O00025,C014,2024-03-04,2024-03-07,2024-03-10,2024-03-10,Delivered,3245.6,16,16,0,1,West
O00026,C034,2024-03-11,2024-03-13,2024-03-18,2024-03-16,Delivered,1185.12,16,16,0,1,Midwest
O00027,C035,2024-11-28,2024-12-01,2024-12-04,2024-12-06,Delivered,420.16,13,13,0,1,West
O00028,C033,2024-06-04,2024-06-07,2024-06-10,2024-06-07,Delivered,1271.86,19,19,0,1,West
O00029,C007,2024-01-03,2024-01-05,2024-01-08,2024-01-05,Delivered,2402.4,14,14,0,1,Midwest
O00030,C038,2024-10-01,2024-10-03,2024-10-04,2024-10-04,Delivered,1008.1,10,10,0,1,South
O00031,C036,2024-08-09,2024-08-10,2024-08-13,2024-08-12,Delivered,520.41,11,11,0,1,West
O00032,C016,2024-03-02,,2024-03-07,,Placed,906.16,8,0,0,1,West
O00033,C032,2024-02-18,,2024-02-22,,Cancelled,209.99,1,0,0,1,Northeast
O00034,C029,2024-05-27,2024-05-29,2024-05-30,,Shipped,719.82,18,18,0,1,Northeast
O00035,C022,2024-01-05,2024-01-08,2024-01-08,,Shipped,755.5,10,10,0,1,South
O00036,C019,2024-06-28,2024-06-29,2024-07-05,2024-06-29,Delivered,2413.29,11,11,0,1,Midwest
O00037,C005,2024-01-09,2024-01-10,2024-01-15,2024-01-11,Delivered,2585.57,13,3,0,1,Midwest
O00038,C001,2024-11-13,2024-11-14,2024-11-17,2024-11-14,Delivered,225.54,14,14,0,1,South
O00039,C010,2024-01-20,,2024-01-26,,Placed,2945.76,17,0,0,1,South
O00040,C034,2024-08-31,2024-09-01,2024-09-07,2024-09-01,Delivered,958.29,17,17,0,1,Midwest
O00041,C018,2024-02-24,2024-02-25,2024-03-02,2024-02-29,Delivered,1057.65,15,15,0,1,West
O00042,C001,2024-01-15,2024-01-17,2024-01-19,2024-01-17,Delivered,908.82,18,18,0,1,South
O00043,C011,2024-08-10,2024-08-12,2024-08-17,2024-08-13,Delivered,2507.28,12,12,0,1,Midwest
O00044,C007,2024-02-21,2024-02-22,2024-02-26,2024-02-22,Delivered,1234.2,11,11,0,1,Midwest
O00045,C032,2024-08-01,2024-08-04,2024-08-06,2024-08-04,Delivered,1284.4,13,13,0,1,Northeast
O00046,C020,2024-06-14,2024-06-16,2024-06-17,2024-06-17,Delivered,654.9,5,5,0,1,Northeast
O00047,C014,2024-07-10,2024-07-13,2024-07-13,2024-07-17,Delivered,800.37,9,9,0,1,West
O00048,C030,2024-06-30,2024-07-02,2024-07-04,2024-07-03,Delivered,2986.56,16,16,2,0,South
O00049,C012,2024-07-16,2024-07-17,2024-07-20,2024-07-20,Delivered,2508.75,15,7,0,1,Northeast
O00050,C010,2024-07-28,2024-07-29,2024-08-03,2024-08-03,Delivered,634.44,3,3,0,1,South
O00051,C031,2024-05-15,2024-05-18,2024-05-22,2024-05-20,Delivered,752.18,13,13,0,1,Midwest
O00052,C039,2024-07-13,,2024-07-17,,Cancelled,748.51,17,0,0,1,Midwest
O00053,C021,2024-06-05,2024-06-06,2024-06-12,2024-06-09,Delivered,1358.72,8,8,0,1,South
O00054,C038,2024-01-16,2024-01-19,2024-01-22,2024-01-21,Delivered,577.45,5,5,0,1,South
O00055,C035,2024-08-10,2024-08-12,2024-08-15,2024-08-12,Delivered,2228.2,13,13,0,1,West
O00056,C014,2024-06-17,2024-06-19,2024-06-22,,Shipped,1895.68,16,16,0,1,West
O00057,C037,2024-05-14,2024-05-16,2024-05-18,2024-05-17,Delivered,620.84,17,17,0,1,Midwest
O00058,C008,2024-04-20,2024-04-23,2024-04-23,2024-04-23,Delivered,1389.44,13,13,0,1,Northeast
O00059,C007,2024-09-02,,2024-09-07,,Cancelled,1848.21,13,0,0,1,Midwest
O00060,C036,2024-06-15,,2024-06-22,,Placed,2603.84,16,0,0,1,West
O00061,C012,2024-12-02,2024-12-04,2024-12-08,,Shipped,614.24,16,16,0,1,Northeast
O00062,C030,2024-12-01,,2024-12-07,,Cancelled,222.27,3,0,0,1,South
O00063,C040,2024-10-13,2024-10-15,2024-10-19,2024-10-25,Delivered,525.07,13,7,0,1,Midwest
O00064,C014,2024-12-07,2024-12-08,2024-12-11,2024-12-10,Delivered,291.51,9,9,1,1,West
O00065,C015,2024-11-28,2024-12-01,2024-12-01,2024-12-01,Delivered,3063.18,19,19,0,1,Northeast
O00066,C016,2024-01-18,2024-01-20,2024-01-25,2024-01-20,Delivered,954.6,5,5,0,1,West
O00067,C028,2024-11-08,2024-11-10,2024-11-14,2024-11-11,Delivered,2657.48,14,14,0,1,Midwest
